GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
RPL8	9.59507160182045	9.69347509328308	9.47251645302057	9.8329354712704	10.1410005735549
GAPDH	8.93591435813511	9.42876821341035	8.5350844212018	9.26691446022105	10.0057180670698
HSPB1	9.78989641023964	10.046960878133	9.31851394976481	9.96720356111352	9.97156459100445
COL1A2	10.2619715916039	10.2539622893127	9.28673507742797	9.42931755214956	9.76143966504553
ALDOA	8.9280001154578	9.42560195550245	8.62461673669766	9.46071863136455	9.73735487705787
KRT19	8.17588356063288	9.23021489035634	7.96865083183846	9.08809424318801	9.44606708600298
LGALS1	8.91221012675269	9.13267804009609	8.03303288752059	8.49544490504123	9.15845738023352
MUC1	8.64425465967471	9.51304332696843	8.96784188520737	10.1592300718764	8.93934167714187
AEBP1	9.21368484206678	9.36649751306658	8.49445817547717	8.69371045654292	8.93313597378794
RPS21	8.36965118318486	8.46083430636538	8.36077493230642	8.62499724705828	8.92879336347536
FN1	8.44474262440421	8.77997484483591	7.39032834331621	7.46494839617481	8.70908457223755
COL6A3	8.66728289997236	8.72337910211035	7.54697666462993	8.06350744185298	8.55723420720373
TIMP2	8.58556273619422	8.69835825056568	8.07419323682763	8.10022438482358	8.36159680567668
C3	9.44236094073235	8.55202804767514	8.75648965115507	8.48899570377459	8.2647046591905
HMGA1	6.78490679178264	7.42917941604693	6.3840595960792	7.34423537256059	8.25606359251892
ITGB4	6.77219022288577	7.7288913025684	6.51034978213107	7.54351754692461	8.22089031341574
SERPINH1	8.00995675622829	8.2115703944819	7.21251082887318	7.65605064874773	8.15430287402751
COL5A1	8.50730906130547	8.64306928451469	7.8850020262249	7.78726274055975	8.15360934333112
FKBP10	8.32179393137163	8.45830965885987	7.73151316645587	7.77215489446985	8.08221861660589
TSPAN3	8.1687824869713	8.50805427524097	8.08767066004822	8.84808658440893	7.98791229306039
FSCN1	6.86146664944466	7.16880103441595	5.95269943199476	6.57394496671174	7.90255784749792
TPI1	7.14413944495455	7.50357741566577	7.01010738238405	7.36197128599407	7.86057430767857
THBS2	8.41401045700609	8.48062673877551	7.54222592679319	7.52974866914627	7.85880896610621
CHPF	7.75627772250761	7.94265674078051	7.09489208666037	7.57758039288085	7.8410700357996
KRT7	6.90533801807287	7.59161356301222	6.07603347685267	7.04884152608387	7.81660516329558
CAV1	6.82001791827296	7.04901206044907	5.85997127575721	6.19243773268277	7.79797661025195
JUP	7.13521233151576	7.8187863834798	7.08898924286805	7.73800703262498	7.78607108039813
MALL	7.05975058363092	8.1012718475252	6.83276429109209	7.75051899510864	7.77513272956568
LAMB3	6.21154362893871	7.13660360521161	5.65072220761876	6.82816521118131	7.76386358422475
CD276	7.85577154003811	8.05262263531038	7.33793065019872	7.45092741818854	7.76041206173142
ITGA3	6.11158563265251	7.1713074177663	5.71130225226726	6.64796323753404	7.69121942099786
MICAL2	7.64301880801196	7.91672801609295	6.86754607753139	7.4621257380764	7.6529453733833
CD81	8.30149330602701	8.06320594014771	7.85298617427938	7.84982653465981	7.6388236031727
CALU	7.2354963726356	7.5199255337548	6.49884603052396	7.04660529648258	7.6208664576239
C1S	8.45751633157516	8.06511893855969	8.00385706200891	7.73781785716573	7.61268906876854
LAD1	7.13609502218432	7.88540061129845	7.33285274748941	8.18604619709438	7.61159934844278
